cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2022-01,100.0,16.1,17.8,18.5,18.5,17.4,17.4,19.6,17.5,18.9,17.5,19.1,17.4
2022-02,100.0,16.8,17.9,18.9,16.900000000000002,17.7,17.4,18.3,17.599999999999998,17.599999999999998,19.6,19.1,16.6
2022-03,100.0,17.2,21.099999999999998,15.8,17.1,18.6,20.5,16.5,16.8,17.1,19.400000000000002,16.7,17.9
2022-04,100.0,18.4,17.299999999999997,17.4,18.4,17.5,17.8,16.2,16.400000000000002,18.8,18.9,17.8,17.299999999999997
2022-05,100.0,18.4,19.400000000000002,18.099999999999998,17.2,17.7,15.4,17.599999999999998,17.599999999999998,15.9,18.4,16.6,18.7
2022-06,100.0,19.3,16.2,18.6,17.299999999999997,19.2,18.6,15.5,16.400000000000002,18.099999999999998,18.3,19.3,17.0
2022-07,100.0,18.6,16.8,20.3,18.6,20.3,17.1,17.9,18.4,16.8,17.1,18.6,16.900000000000002
2022-08,100.0,20.8,19.8,21.5,16.900000000000002,16.900000000000002,16.400000000000002,19.8,17.9,19.8,21.0,19.8,17.9
2022-09,100.0,19.900000000000002,15.8,16.900000000000002,19.7,22.1,17.8,14.2,18.9,16.7,17.5,21.9,19.900000000000002
2022-10,100.0,17.9,20.4,16.8,17.599999999999998,17.9,16.2,16.2,16.8,19.6,18.5,17.599999999999998,17.9
2022-11,100.0,19.1,22.8,21.5,21.5,18.7,14.6,17.9,18.3,19.5,21.099999999999998,23.200000000000003,19.1
2022-12,100.0,14.299999999999999,13.100000000000001,16.900000000000002,15.2,20.3,17.7,15.6,15.6,23.200000000000003,13.5,19.0,22.400000000000002
2023-01,100.0,13.0,24.099999999999998,14.799999999999999,17.299999999999997,13.0,17.9,19.8,14.2,13.0,20.4,24.099999999999998,16.0
2023-02,100.0,16.2,18.3,14.799999999999999,16.900000000000002,25.4,19.7,18.3,22.5,21.099999999999998,16.900000000000002,18.3,18.3
2023-03,100.0,19.1,25.5,20.9,14.499999999999998,18.2,13.600000000000001,23.599999999999998,20.0,20.0,20.0,10.0,16.400000000000002
2023-04,100.0,14.799999999999999,20.5,13.600000000000001,18.2,23.9,19.3,17.0,15.9,15.9,18.2,20.5,17.0
2023-05,100.0,15.299999999999999,22.2,19.400000000000002,18.099999999999998,12.5,27.800000000000004,19.400000000000002,22.2,22.2,15.299999999999999,16.7,25.0
2023-06,100.0,13.600000000000001,21.2,13.600000000000001,18.2,24.2,16.7,22.7,10.6,15.2,18.2,19.7,13.600000000000001
2023-07,100.0,18.2,16.400000000000002,12.7,14.499999999999998,18.2,23.599999999999998,18.2,20.0,16.400000000000002,14.499999999999998,21.8,25.5
2023-08,100.0,24.4,14.6,17.1,29.299999999999997,17.1,17.1,14.6,24.4,26.8,22.0,14.6,17.1
2023-09,100.0,21.2,18.2,12.1,12.1,15.2,15.2,18.2,12.1,21.2,15.2,15.2,9.1
2023-10,100.0,22.900000000000002,14.299999999999999,17.1,11.4,8.6,28.599999999999998,28.599999999999998,28.599999999999998,20.0,14.299999999999999,25.7,20.0
2023-12,100.0,13.600000000000001,40.9,31.8,4.5,18.2,18.2,22.7,13.600000000000001,31.8,18.2,27.3,9.1
